standard,fixed,special,special2
개돼지,ㄱㅅㄲ,그 성별,해병 문학
개새끼,개병,그 정당,해병 수육
개쓰레기,기열,그 집단,해병 짜장
개씨발,ㄴㄷㅆ,,해병 카레
개씹,ㅂㅅ,,
개좆,ㅅㄲ,,
개지랄,ㅅㅂ,,
건동홍캠,시바,,
걸레,ㅆㅂ,,
군캉스,아다,,
급식같,염병,,
급식들,ㅈㄴ,,
급식충,ㅈㄹ,,
급식티,트롤,,
김치녀,,,
꼬라지,,,
꼰대,,,
꼰머,,,
남창,,,
네다씹,,,
닥쳐,,,
등신,,,
딱갈이,,,
렉카,,,
로리콘,,,
루저,,,
맘충,,,
메갈,,,
메갈리아,,,
모솔,,,
모쏠,,,
무뇌,,,
병신,,,
보슬아치,,,
보지년,,,
보추,,,
빡대가리,,,
상놈,,,
소추,,,
슈발,,,
시발,,,
시벌,,,
쌍년,,,
쌍놈,,,
썅년,,,
씨발,,,
씨부랄,,,
씹덕,,,
아가리,,,
아쎄이,,,
애새끼,,,
양놈,,,
에붕,,,
에붕이,,,
엠창,,,
엠창인생,,,
여왕벌,,,
워마드,,,
율붕,,,
율붕이,,,
일베,,,
잼민,,,
잼민이,,,
저능아,,,
정병,,,
정신병자,,,
존나,,,
졸라,,,
좇소,,,
좇소기업,,,
좋소,,,
좋소기업,,,
지랄,,,
짱깨,,,
쫄보,,,
찐따,,,
창녀,,,
창놈,,,
쿰척쿰척,,,
틀딱,,,
한남,,,
한남충,,,
한녀,,,
한녀충,,,
