morphs,refined
개돼지,개돼지
개새끼,개새끼
개쓰레기,쓰레기
개씨발,시발
개씹,개씹
개좆,개좆
개지랄,지랄
건동홍캠,건동홍캠
걸레,걸레
군캉스,군캉스
급식같,급식
급식들,급식
급식충,급식
급식티,급식
김치녀,김치녀
꼬라지,꼬라지
꼰대,꼰대
꼰머,꼰대
남창,남창
네다씹,씹덕
닥쳐,닥쳐
등신,등신
딱갈이,딱갈이
렉카,렉카
로리콘,로리콘
루저,루저
맘충,맘충
메갈,메갈
메갈리아,메갈
모솔,모솔
모쏠,모솔
무뇌,무뇌
병신,병신
보슬아치,보슬아치
보지년,보지년
보추,보추
빡대가리,빡대가리
상놈,상놈
소추,소추
슈발,시발
시발,시발
시벌,시발
쌍년,쌍년
쌍놈,상놈
씨발,시발
씨부랄,시발
씹덕,씹덕
아가리,아가리
아쎄이,아쎄이
애새끼,애새끼
양놈,양놈
에붕,에붕
에붕이,에붕
엠창,엠창
엠창인생,엠창
여왕벌,여왕벌
워마드,워마드
율붕,율붕
율붕이,율붕
일베,일베
잼민,잼민
잼민이,잼민
저능아,저능아
정병,정병
정신병자,정병
존나,존나
졸라,존나
좇소,좇소
좇소기업,좇소
좋소,좇소
좋소기업,좇소
지랄,지랄
짱깨,짱깨
쫄보,쫄보
찐따,찐따
창녀,창녀
창놈,창놈
쿰척쿰척,쿰척쿰척
틀딱,틀딱
한남,한남
한남충,한남
한녀,한녀
한녀충,한녀
ㄱㅅㄲ,개새끼
개병,개병
기열,기열
ㄴㄷㅆ,네다씹
ㅂㅅ,병신
ㅅㄲ,새끼
ㅅㅂ,시발
시바,시발
ㅆㅂ,시발
아다,아다
염병,염병
ㅈㄴ,존나
ㅈㄹ,지랄
트롤,트롤
해병문학,해병 문학
해병수육,해병 수육
해병짜장,해병 짜장
해병카레,해병 카레
그 집단,그 집단
그 성별,그 성별
그 정당,그 정당
해병 문학,해병 문학
해병 수육,해병 수육
해병 짜장,해병 짜장
해병 카레,해병 카레
